EmployeeID,Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,TotalSatisfaction,CareerStability,LoyaltyRatio,IncomePerAge,AttritionRisk,Prediction
1,41,1,Travel_Rarely,Sales,1,2,Life Sciences,2,3,2,Sales Executive,4,Single,5993,8,Yes,1,0,8,0,1,6.0,4.0,0,5,10,0.6666666666666666,0.75,146.17073170731706,0.5224061677744699,1
2,49,0,Travel_Frequently,Research & Development,8,1,Life Sciences,3,2,2,Research Scientist,2,Married,5130,1,No,4,1,10,3,3,10.0,7.0,1,7,11,0.7,1.0,104.6938775510204,0.05349638479614111,0
3,37,1,Travel_Rarely,Research & Development,2,2,Other,4,2,1,Laboratory Technician,3,Single,2090,6,Yes,2,0,7,3,3,0.1,0.1,0,0,11,1.0,0.014285714285714287,56.486486486486484,0.5715145910759095,1
4,33,0,Travel_Frequently,Research & Development,3,4,Life Sciences,4,3,1,Research Scientist,3,Married,2909,1,Yes,3,0,8,3,3,8.0,7.0,3,0,13,0.875,1.0,88.15151515151516,0.3231692316935774,1
5,27,0,Travel_Rarely,Research & Development,2,1,Medical,1,3,1,Laboratory Technician,2,Married,3468,9,No,4,1,6,3,3,2.0,2.0,2,2,10,1.0,0.3333333333333333,128.44444444444446,0.21247007785826705,0
6,32,0,Travel_Frequently,Research & Development,2,2,Life Sciences,4,3,1,Laboratory Technician,4,Single,3068,0,No,3,0,8,2,2,7.0,7.0,3,6,14,1.0,0.875,95.875,0.1104732993003355,0
7,59,0,Travel_Rarely,Research & Development,3,3,Medical,3,4,1,Laboratory Technician,1,Married,2670,4,Yes,1,3,12,3,2,1.0,0.1,0,0,9,0.1,0.08333333333333333,45.25423728813559,0.23522033323168395,0
8,30,0,Travel_Rarely,Research & Development,24,1,Life Sciences,4,3,1,Laboratory Technician,3,Divorced,2693,1,No,2,1,1,2,3,1.0,0.1,0,0,12,0.1,1.0,89.76666666666667,0.26450388598923513,0
9,38,0,Travel_Frequently,Research & Development,23,3,Life Sciences,4,2,3,Manufacturing Director,3,Single,9526,0,No,2,0,10,2,3,9.0,7.0,1,8,11,0.7777777777777778,0.9,250.68421052631578,0.07761345333885367,0
10,36,0,Travel_Rarely,Research & Development,27,3,Medical,3,3,2,Healthcare Representative,3,Married,5237,6,No,2,2,17,3,2,7.0,7.0,7,7,11,1.0,0.4117647058823529,145.47222222222223,0.04775968532904744,0
11,35,0,Travel_Rarely,Research & Development,16,3,Medical,1,4,1,Laboratory Technician,2,Married,2426,0,No,3,1,6,5,3,5.0,4.0,0,3,10,0.8,0.8333333333333334,69.31428571428572,0.08103777935217421,0
12,29,0,Travel_Rarely,Research & Development,15,2,Life Sciences,4,2,2,Laboratory Technician,3,Single,4193,0,Yes,4,0,10,3,3,9.0,5.0,0,8,13,0.5555555555555556,0.9,144.58620689655172,0.1894410692094341,0
13,31,0,Travel_Rarely,Research & Development,26,1,Life Sciences,1,3,1,Research Scientist,3,Divorced,2911,1,No,4,1,5,1,2,5.0,2.0,4,3,11,0.4,1.0,93.90322580645162,0.09434857176653869,0
14,34,0,Travel_Rarely,Research & Development,19,2,Medical,2,3,1,Laboratory Technician,4,Divorced,2661,0,No,3,1,3,2,3,2.0,2.0,1,2,12,1.0,0.6666666666666666,78.26470588235294,0.0922183903752109,0
15,28,1,Travel_Rarely,Research & Development,24,3,Life Sciences,3,2,1,Laboratory Technician,3,Single,2028,5,Yes,2,0,6,4,3,4.0,2.0,0,3,10,0.5,0.6666666666666666,72.42857142857143,0.7254366726654432,1
16,29,0,Travel_Rarely,Research & Development,21,4,Life Sciences,2,4,3,Manufacturing Director,1,Divorced,9980,1,No,3,1,10,1,3,10.0,9.0,8,8,10,0.9,1.0,344.13793103448273,0.052982902221009556,0
17,32,0,Travel_Rarely,Research & Development,5,2,Life Sciences,1,4,1,Research Scientist,2,Divorced,3298,0,Yes,4,2,7,5,2,6.0,2.0,0,5,11,0.3333333333333333,0.8571428571428571,103.0625,0.202471077912137,0
18,22,0,Non-Travel,Research & Development,16,2,Medical,4,4,1,Laboratory Technician,4,Divorced,2935,1,Yes,2,2,1,2,2,1.0,0.1,0,0,14,0.1,1.0,133.4090909090909,0.42785356414114356,1
19,53,0,Travel_Rarely,Sales,2,4,Life Sciences,1,2,4,Manager,4,Married,15427,2,No,3,0,31,3,3,25.0,8.0,3,7,10,0.32,0.8064516129032258,291.07547169811323,0.06846544822279162,0
20,38,0,Travel_Rarely,Research & Development,2,3,Life Sciences,4,3,1,Research Scientist,4,Single,3944,5,Yes,3,0,6,3,3,3.0,2.0,1,2,14,0.6666666666666666,0.5,103.78947368421052,0.17104745765454013,0
